populationID	populationName	location	geographicRegion	dataSet-of-origin	Latitude[degreesNorth]	Longitude[degreesEast]
1238	Turkana	Kenya	AFRICA	African	3	36
1239	Pokot	Kenya	AFRICA	African	1.5	35.5
1240	Borana	Kenya	AFRICA	African	3	38
1241	Ilchamus	Kenya	AFRICA	African	1.5	37.1
1242	Konso	Ethiopia	AFRICA	African	5.5	37.5
1243	Laka	Chad	AFRICA	African	8	16
1244	Ngambaye	Chad	AFRICA	African	9	16
1245	Kaba	Chad	AFRICA	African	8	16.8
1246	Bulala	Chad	AFRICA	African	13	18
1247	Kanembou	Chad	AFRICA	African	14	15
1248	Mbum	CentralAfricanRepublic	AFRICA	African	5.5	13.5
1249	TutsiHutu	Rwanda	AFRICA	African	-2	30
1250	Yakoma	CentralAfricanRepublic	AFRICA	African	4.3	22.3
1252	Gbaya	CentralAfricanRepublic	AFRICA	African	5	15
1253	FulaniMbororo	Cameroon	AFRICA	African	11.8	14.8
1254	Wimbum	Cameroon	AFRICA	African	6.5	10.8
1255	Batie	Cameroon	AFRICA	African	4.3	11
1256	Hausa-Cameroon	Cameroon	AFRICA	African	10.5	14.5
1257	Kongo	DemocraticRepublicCongo	AFRICA	African	-5.5	15
1258	Barega	DemocraticRepublicCongo	AFRICA	African	-3.5	28
1259	Baluba	DemocraticRepublicCongo	AFRICA	African	-9	25
1262	Dioula	IvoryCoast	AFRICA	African	9.5	-4.5
1266	Ewondo	Cameroon	AFRICA	African	3.8	11.5
1267	Eton	Cameroon	AFRICA	African	4.3	11.5
1268	Nuer	Sudan	AFRICA	African	8.5	31
1269	Shilook	Sudan	AFRICA	African	10	32
1270	Nyimang	Sudan	AFRICA	African	12.3	29.5
1271	Sara-various	Chad	AFRICA	African	8	17.5
1272	CapeTown	SouthAfrica	AFROEUROPEAN	African	-34	18.5
1273	Venda	SouthAfrica	AFRICA	African	-22.5	30
1274	!XunKxoe	SouthAfrica	AFRICA	African	-30	18
1275	Xhosa	SouthAfrica	AFRICA	African	-32	28
1276	Koma	Nigeria	AFRICA	African	8.5	12.7
1277	BetaIsrael	Ethiopia	AFRICA	African	12	38
1278	Dogon	Mali	AFRICA	African	14	-3
1280	Temani	Yemen	MIDDLE_EAST	African	15	45
1281	Fulani-Nigeria	Nigeria	AFRICA	African	11	11
